iter	Passed	Remaining
0	2	2584
1	4	2410
2	7	2411
3	9	2332
4	11	2318
5	14	2341
6	16	2393
7	19	2419
8	22	2485
9	25	2503
10	27	2493
11	30	2506
12	33	2512
13	35	2502
14	38	2502
15	40	2499
16	43	2490
17	45	2469
18	47	2461
19	50	2457
20	52	2447
21	54	2426
22	56	2416
23	59	2415
24	61	2407
25	63	2390
26	66	2389
27	68	2389
28	71	2385
29	73	2369
30	75	2366
31	78	2364
32	80	2358
33	82	2349
34	84	2340
35	87	2332
36	89	2325
37	91	2316
38	93	2305
39	95	2303
40	97	2292
41	100	2289
42	102	2277
43	104	2277
44	107	2272
45	109	2267
46	111	2260
47	113	2257
48	116	2253
49	118	2248
50	120	2243
51	123	2245
52	125	2245
53	128	2247
54	130	2247
55	133	2249
56	136	2251
57	138	2248
58	140	2241
59	142	2237
60	144	2230
61	147	2227
62	149	2224
63	152	2224
64	154	2223
65	157	2224
66	159	2220
67	161	2218
68	164	2212
69	166	2208
70	168	2202
71	170	2202
72	173	2197
73	175	2196
74	177	2193
75	180	2194
76	183	2194
77	185	2188
78	187	2183
79	189	2181
80	192	2179
81	194	2182
82	197	2179
83	199	2175
84	201	2172
85	204	2169
86	206	2165
87	208	2163
88	211	2159
89	213	2156
90	215	2152
91	217	2149
92	220	2147
93	222	2147
94	225	2149
95	228	2149
96	230	2150
97	234	2153
98	236	2154
99	240	2161
100	243	2164
101	245	2165
102	248	2163
103	251	2168
104	255	2174
105	258	2176
106	261	2179
107	264	2180
108	267	2189
109	271	2196
110	275	2203
111	278	2207
112	281	2206
113	283	2205
114	286	2205
115	289	2206
116	292	2206
117	295	2206
118	297	2204
119	300	2205
120	303	2202
121	305	2198
122	307	2195
123	310	2190
124	312	2187
125	314	2183
126	317	2181
127	319	2177
128	322	2174
129	324	2171
130	326	2169
131	329	2164
132	331	2161
133	333	2158
134	336	2154
135	338	2149
136	340	2146
137	343	2144
138	346	2143
139	348	2140
140	351	2140
141	353	2136
142	356	2134
143	358	2131
144	361	2129
145	363	2126
146	366	2124
147	368	2122
148	371	2120
149	373	2117
150	376	2114
151	378	2111
152	380	2108
153	383	2105
154	385	2102
155	388	2102
156	391	2101
157	394	2100
158	396	2098
159	399	2096
160	402	2095
161	404	2093
162	407	2091
163	409	2088
164	412	2086
165	414	2084
166	417	2082
167	419	2078
168	422	2075
169	424	2071
170	426	2068
171	429	2065
172	431	2063
173	433	2059
174	436	2056
175	438	2052
176	440	2050
177	443	2045
178	445	2042
179	448	2042
180	451	2041
181	453	2039
182	456	2037
183	459	2036
184	461	2033
185	464	2031
186	466	2027
187	468	2024
188	471	2021
189	473	2018
190	476	2016
191	478	2013
192	480	2009
193	483	2007
194	485	2003
195	487	2000
196	489	1996
197	492	1995
198	495	1992
199	497	1989
200	499	1987
201	502	1984
202	504	1982
203	507	1980
204	509	1977
205	512	1975
206	514	1971
207	517	1969
208	519	1965
209	522	1964
210	524	1960
211	527	1959
212	529	1955
213	531	1953
214	534	1949
215	536	1947
216	539	1945
217	541	1941
218	543	1937
219	545	1934
220	547	1931
221	550	1929
222	552	1926
223	555	1924
224	557	1921
225	560	1919
226	563	1917
227	565	1914
228	567	1910
229	569	1907
230	572	1904
231	574	1902
232	576	1899
233	579	1896
234	581	1893
235	583	1890
236	586	1886
237	588	1884
238	590	1880
239	593	1877
240	595	1874
241	597	1872
242	600	1869
243	602	1867
244	604	1864
245	607	1861
246	609	1858
247	611	1855
248	614	1852
249	616	1849
250	618	1846
251	621	1844
252	623	1841
253	626	1839
254	628	1835
255	631	1834
256	633	1830
257	635	1828
258	638	1826
259	641	1824
260	643	1821
261	645	1818
262	648	1815
263	650	1813
264	653	1811
265	655	1809
266	658	1807
267	660	1804
268	663	1803
269	665	1800
270	668	1798
271	670	1794
272	673	1792
273	675	1790
274	678	1788
275	680	1785
276	683	1782
277	685	1780
278	687	1777
279	689	1774
280	692	1771
281	695	1769
282	697	1768
283	700	1765
284	702	1763
285	705	1760
286	707	1757
287	709	1755
288	712	1753
289	715	1751
290	717	1747
291	719	1744
292	722	1742
293	724	1739
294	726	1737
295	729	1734
296	731	1731
297	733	1728
298	736	1726
299	738	1724
300	741	1722
301	744	1720
302	746	1717
303	748	1714
304	751	1711
305	753	1709
306	756	1706
307	758	1704
308	761	1701
309	763	1699
310	765	1695
311	767	1693
312	770	1690
313	773	1688
314	775	1686
315	778	1684
316	780	1681
317	783	1679
318	785	1677
319	788	1675
320	791	1673
321	793	1671
322	796	1669
323	798	1667
324	801	1665
325	803	1662
326	806	1659
327	808	1656
328	811	1654
329	813	1651
330	815	1648
331	817	1645
332	820	1643
333	822	1640
334	825	1637
335	827	1634
336	829	1632
337	831	1628
338	834	1627
339	836	1624
340	839	1622
341	841	1619
342	844	1617
343	846	1614
344	849	1612
345	851	1610
346	854	1607
347	856	1604
348	858	1602
349	861	1599
350	863	1597
351	866	1594
352	868	1591
353	870	1589
354	873	1586
355	875	1583
356	878	1581
357	880	1578
358	882	1576
359	885	1573
360	889	1573
361	892	1572
362	894	1569
363	897	1567
364	899	1565
365	902	1563
366	904	1559
367	906	1556
368	907	1552
369	909	1548
370	911	1545
371	913	1541
372	914	1537
373	916	1534
374	918	1531
375	921	1528
376	923	1526
377	925	1523
378	928	1520
379	930	1518
380	933	1516
381	936	1514
382	938	1511
383	941	1509
384	943	1507
385	945	1504
386	948	1501
387	950	1499
388	953	1497
389	955	1494
390	957	1491
391	960	1489
392	962	1486
393	965	1484
394	967	1482
395	969	1479
396	972	1476
397	974	1473
398	976	1471
399	979	1468
400	981	1466
401	984	1463
402	986	1461
403	988	1458
404	991	1456
405	993	1453
406	995	1450
407	998	1448
408	1000	1445
409	1002	1443
410	1004	1440
411	1007	1437
412	1009	1434
413	1012	1432
414	1014	1430
415	1017	1427
416	1019	1425
417	1022	1423
418	1024	1421
419	1027	1419
420	1030	1417
421	1032	1414
422	1035	1412
423	1038	1410
424	1040	1408
425	1044	1406
426	1047	1404
427	1050	1403
428	1052	1401
429	1055	1399
430	1058	1397
431	1061	1395
432	1064	1393
433	1066	1391
434	1069	1389
435	1072	1387
436	1075	1385
437	1078	1383
438	1080	1380
439	1083	1379
440	1086	1377
441	1089	1375
442	1092	1373
443	1094	1370
444	1097	1368
445	1100	1366
446	1102	1364
447	1105	1362
448	1108	1360
449	1111	1358
450	1113	1355
451	1117	1354
452	1120	1352
453	1122	1350
454	1126	1348
455	1128	1346
456	1131	1344
457	1134	1342
458	1136	1340
459	1139	1338
460	1142	1335
461	1145	1333
462	1147	1331
463	1150	1329
464	1153	1327
465	1156	1324
466	1159	1323
467	1161	1320
468	1164	1318
469	1167	1316
470	1170	1314
471	1173	1312
472	1175	1310
473	1178	1308
474	1181	1306
475	1184	1304
476	1188	1302
477	1191	1301
478	1194	1299
479	1197	1297
480	1200	1295
481	1203	1293
482	1206	1291
483	1209	1289
484	1212	1287
485	1215	1285
486	1218	1283
487	1221	1281
488	1224	1279
489	1226	1276
490	1229	1274
491	1232	1272
492	1235	1270
493	1237	1268
494	1240	1265
495	1243	1263
496	1246	1261
497	1249	1259
498	1251	1257
499	1254	1254
500	1257	1252
501	1260	1250
502	1262	1247
503	1265	1245
504	1268	1243
505	1270	1240
506	1273	1238
507	1277	1236
508	1279	1234
509	1283	1233
510	1287	1231
511	1290	1229
512	1293	1227
513	1296	1225
514	1298	1223
515	1301	1221
516	1304	1219
517	1307	1216
518	1310	1214
519	1313	1212
520	1316	1210
521	1319	1208
522	1322	1205
523	1324	1203
524	1327	1201
525	1330	1198
526	1333	1196
527	1336	1194
528	1339	1192
529	1342	1190
530	1345	1188
531	1347	1185
532	1350	1183
533	1353	1181
534	1356	1178
535	1359	1176
536	1362	1174
537	1364	1172
538	1368	1170
539	1371	1168
540	1373	1165
541	1376	1163
542	1379	1161
543	1383	1159
544	1386	1157
545	1389	1155
546	1391	1152
547	1394	1150
548	1397	1147
549	1400	1145
550	1402	1143
551	1405	1140
552	1408	1138
553	1411	1136
554	1414	1133
555	1416	1131
556	1419	1129
557	1422	1126
558	1425	1124
559	1428	1122
560	1430	1119
561	1433	1117
562	1436	1114
563	1438	1112
564	1441	1110
565	1444	1107
566	1447	1105
567	1449	1102
568	1452	1100
569	1455	1097
570	1457	1095
571	1460	1092
572	1462	1090
573	1465	1087
574	1468	1085
575	1470	1082
576	1473	1080
577	1476	1077
578	1478	1075
579	1481	1072
580	1484	1070
581	1487	1068
582	1489	1065
583	1492	1063
584	1494	1060
585	1497	1057
586	1500	1055
587	1502	1053
588	1505	1050
589	1508	1048
590	1511	1045
591	1514	1043
592	1517	1041
593	1519	1038
594	1522	1036
595	1525	1033
596	1528	1031
597	1530	1028
598	1533	1026
599	1536	1024
600	1539	1021
601	1542	1019
602	1544	1017
603	1547	1014
604	1550	1012
605	1553	1009
606	1555	1007
607	1558	1004
608	1561	1002
609	1564	1000
610	1567	997
611	1570	995
612	1573	993
613	1576	990
614	1578	988
615	1581	985
616	1583	983
617	1586	980
618	1589	978
619	1591	975
620	1594	972
621	1596	970
622	1598	967
623	1601	964
624	1604	962
625	1606	959
626	1608	957
627	1611	954
628	1613	951
629	1616	949
630	1618	946
631	1620	943
632	1623	941
633	1625	938
634	1627	935
635	1630	932
636	1632	930
637	1635	927
638	1637	925
639	1640	922
640	1642	919
641	1644	917
642	1647	914
643	1649	911
644	1652	909
645	1654	906
646	1656	903
647	1658	901
648	1661	898
649	1663	895
650	1666	893
651	1668	890
652	1671	888
653	1673	885
654	1676	882
655	1678	880
656	1680	877
657	1683	874
658	1685	872
659	1688	869
660	1690	867
661	1693	864
662	1695	861
663	1697	859
664	1700	856
665	1702	853
666	1704	851
667	1707	848
668	1710	846
669	1713	843
670	1715	841
671	1717	838
672	1720	835
673	1723	833
674	1725	830
675	1727	828
676	1730	825
677	1732	822
678	1734	820
679	1737	817
680	1739	814
681	1741	812
682	1743	809
683	1746	806
684	1748	804
685	1751	801
686	1753	798
687	1756	796
688	1758	793
689	1760	791
690	1763	788
691	1765	785
692	1767	783
693	1770	780
694	1773	778
695	1775	775
696	1778	773
697	1780	770
698	1783	767
699	1785	765
700	1788	762
701	1790	760
702	1792	757
703	1795	754
704	1798	752
705	1800	749
706	1803	747
707	1805	744
708	1808	742
709	1810	739
710	1813	737
711	1815	734
712	1818	731
713	1820	729
714	1823	726
715	1825	724
716	1828	721
717	1830	718
718	1833	716
719	1835	713
720	1838	711
721	1842	709
722	1846	707
723	1849	704
724	1851	702
725	1854	699
726	1856	697
727	1858	694
728	1861	691
729	1863	689
730	1865	686
731	1867	683
732	1870	681
733	1873	678
734	1875	676
735	1877	673
736	1880	670
737	1882	668
738	1884	665
739	1887	663
740	1889	660
741	1892	657
742	1894	655
743	1896	652
744	1899	650
745	1902	647
746	1904	645
747	1907	642
748	1909	640
749	1912	637
750	1914	634
751	1917	632
752	1920	629
753	1922	627
754	1925	624
755	1927	622
756	1930	619
757	1932	616
758	1935	614
759	1937	611
760	1939	609
761	1941	606
762	1944	603
763	1946	601
764	1949	598
765	1951	596
766	1953	593
767	1956	590
768	1958	588
769	1960	585
770	1962	582
771	1965	580
772	1967	577
773	1970	575
774	1972	572
775	1974	569
776	1976	567
777	1979	564
778	1981	562
779	1983	559
780	1985	556
781	1988	554
782	1991	552
783	1994	549
784	1997	547
785	2000	544
786	2003	542
787	2005	539
788	2008	537
789	2010	534
790	2013	531
791	2016	529
792	2018	527
793	2021	524
794	2024	522
795	2026	519
796	2029	516
797	2032	514
798	2034	511
799	2037	509
800	2039	506
801	2042	504
802	2044	501
803	2046	499
804	2050	496
805	2052	494
806	2055	491
807	2058	489
808	2060	486
809	2063	483
810	2065	481
811	2068	478
812	2070	476
813	2073	473
814	2075	471
815	2078	468
816	2081	466
817	2083	463
818	2085	460
819	2088	458
820	2090	455
821	2093	453
822	2095	450
823	2098	448
824	2100	445
825	2103	443
826	2106	440
827	2108	438
828	2111	435
829	2113	432
830	2116	430
831	2118	427
832	2121	425
833	2124	422
834	2126	420
835	2128	417
836	2131	415
837	2133	412
838	2136	409
839	2139	407
840	2141	404
841	2143	402
842	2145	399
843	2148	397
844	2150	394
845	2152	391
846	2155	389
847	2157	386
848	2159	384
849	2162	381
850	2164	378
851	2167	376
852	2169	373
853	2171	371
854	2174	368
855	2176	366
856	2178	363
857	2180	360
858	2183	358
859	2185	355
860	2187	353
861	2190	350
862	2192	348
863	2194	345
864	2197	342
865	2199	340
866	2202	337
867	2204	335
868	2206	332
869	2209	330
870	2211	327
871	2213	324
872	2216	322
873	2218	319
874	2221	317
875	2223	314
876	2225	312
877	2228	309
878	2230	307
879	2232	304
880	2234	301
881	2237	299
882	2239	296
883	2241	294
884	2244	291
885	2246	289
886	2248	286
887	2251	283
888	2253	281
889	2256	278
890	2258	276
891	2260	273
892	2263	271
893	2265	268
894	2267	266
895	2270	263
896	2272	260
897	2274	258
898	2277	255
899	2279	253
900	2281	250
901	2284	248
902	2286	245
903	2288	243
904	2291	240
905	2294	238
906	2296	235
907	2298	232
908	2301	230
909	2304	227
910	2306	225
911	2309	222
912	2311	220
913	2314	217
914	2316	215
915	2319	212
916	2321	210
917	2324	207
918	2327	205
919	2330	202
920	2333	200
921	2336	197
922	2339	195
923	2341	192
924	2343	190
925	2346	187
926	2348	184
927	2351	182
928	2353	179
929	2356	177
930	2358	174
931	2361	172
932	2364	169
933	2366	167
934	2369	164
935	2372	162
936	2374	159
937	2377	157
938	2380	154
939	2383	152
940	2385	149
941	2388	147
942	2391	144
943	2394	142
944	2397	139
945	2400	137
946	2402	134
947	2405	131
948	2407	129
949	2410	126
950	2413	124
951	2416	121
952	2419	119
953	2421	116
954	2424	114
955	2427	111
956	2430	109
957	2433	106
958	2436	104
959	2439	101
960	2441	99
961	2444	96
962	2447	94
963	2449	91
964	2452	88
965	2454	86
966	2457	83
967	2459	81
968	2462	78
969	2465	76
970	2467	73
971	2470	71
972	2473	68
973	2476	66
974	2478	63
975	2481	61
976	2484	58
977	2486	55
978	2489	53
979	2492	50
980	2495	48
981	2498	45
982	2501	43
983	2504	40
984	2506	38
985	2509	35
986	2512	33
987	2515	30
988	2518	28
989	2520	25
990	2523	22
991	2526	20
992	2529	17
993	2532	15
994	2534	12
995	2536	10
996	2539	7
997	2541	5
998	2544	2
999	2547	0
